Make,Model,Year,Zip Code,Vehicle Service,Gap,Maintenance,Dent & Ding,Appearance,Windshield,Key Replacement,Theft
KIA,Sportage,2021,46815,Y,Y,Y,N,N,Y,Y,N
Ford,Bronco,2024,74561,N,N,N,N,N,N,Y,N
GM,SIERRA,2022,90210,Y,Y,Y,Y,Y,Y,Y,N
Telsa,3,2020,35511,Y,Y,Y,Y,Y,N,Y,Y
Mazda,Sedan,2016,95102,Y,Y,N,Y,N,Y,Y,Y
Mercedes-Benz,GLA,2019,90004,N,Y,N,Y,N,N,N,N
Cadillac,Wagon,2015,46815,Y,N,N,N,N,N,N,N
Cadillac,SUV,2019,85015,N,N,Y,Y,Y,N,Y,Y
Honda,Civic,2021,92109,N,N,N,Y,N,N,N,Y
Volvo,Convertible,2021,78209,Y,N,Y,N,Y,Y,Y,N
Mini,Hatchback,2018,90012,N,N,Y,Y,Y,Y,N,Y
Kia,Rio,2019,92104,N,N,Y,Y,N,Y,Y,N
Ford,Fusion,2016,10005,Y,N,N,N,Y,N,N,Y
Scion,Wagon,2020,85010,N,N,N,N,Y,N,N,N
Genesis,Pickup,2018,19115,Y,Y,N,N,Y,N,Y,N
Lincoln,Pickup,2022,92111,N,N,N,Y,Y,Y,N,Y
Subaru,Impreza,2018,85003,Y,Y,Y,Y,Y,N,N,N
Audi,Convertible,2022,90015,Y,Y,Y,N,Y,Y,Y,N
GMC,Coupe,2024,19110,Y,Y,N,Y,Y,N,Y,N
Chrysler,Hatchback,2018,95110,Y,Y,N,N,Y,Y,Y,N
Acura,Convertible,2019,85013,N,Y,N,Y,N,Y,Y,Y
GMC,Hatchback,2022,78210,Y,N,N,Y,N,N,Y,Y
Ford,Escape,2024,90003,N,N,N,Y,Y,N,Y,N
Jaguar,Pickup,2020,75206,Y,Y,Y,N,Y,N,N,Y
Mercedes-Benz,GLA,2020,60605,N,N,Y,Y,N,Y,Y,N
Fiat,SUV,2023,85015,N,Y,N,Y,Y,Y,Y,N
Buick,Wagon,2019,92109,Y,N,Y,Y,Y,N,N,Y
Ford,Ranger,2019,77013,N,N,N,Y,Y,N,N,Y
Mini,Sedan,2016,78210,N,N,N,Y,Y,Y,N,Y
GMC,Pickup,2017,19106,N,Y,Y,Y,Y,N,N,N
Chevrolet,Camaro,2024,10014,N,Y,Y,N,N,N,Y,N
Nissan,Maxima,2022,19111,N,Y,Y,N,Y,Y,Y,Y
Infiniti,Wagon,2023,92113,N,N,Y,Y,Y,N,N,N
Scion,Pickup,2024,19103,Y,N,Y,N,Y,Y,Y,Y
Buick,Pickup,2023,19104,Y,N,N,Y,N,Y,N,Y
